User Input,Chatbot Response,Timestamp
Hi,Hey,2025-03-13 23:49:16
Hi,Hi there,2025-03-13 23:49:25
Help,I'm here to help. What's the problem?,2025-03-13 23:52:30
budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2025-03-13 23:52:37
weather,You can check the weather on a weather app or website.,2025-03-13 23:52:50
Hi,Hello,2025-03-14 11:42:14
Hi,Nothing much,2025-03-14 11:43:53
Hello,"I'm fine, thank you",2025-03-14 11:49:18
Hello,Nothing much,2025-03-14 11:50:30
How are you?,I am a chatbot,2025-03-14 11:50:38
Hey,Nothing much,2025-03-14 11:50:45
Hi,Hello,2025-03-14 11:50:51
What's the weather,You can check the weather on a weather app or website.,2025-03-14 11:51:37
